[2024-10-18T00:07:59.189+0000] {processor.py:186} INFO - Started process (PID=410) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T00:07:59.190+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-18T00:07:59.193+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.192+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T00:07:59.269+0000] {processor.py:925} INFO - DAG(s) 'consume_1_or_both_2_and_3_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_1', 'dataset_produces_2', 'dataset_consumes_1_and_2', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-18T00:07:59.295+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.294+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2024-10-18T00:07:59.308+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.308+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-16 01:00:00+00:00, run_after=2024-10-16 01:00:00+00:00
[2024-10-18T00:07:59.313+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.313+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-18T00:07:59.314+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.314+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-18T00:07:59.315+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.315+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-18T00:07:59.316+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.316+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-18T00:07:59.320+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.319+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-18T00:07:59.321+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.321+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-18T00:07:59.322+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.322+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-18T00:07:59.324+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.324+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-17 00:00:00+00:00, run_after=2024-10-18 00:00:00+00:00
[2024-10-18T00:07:59.326+0000] {logging_mixin.py:190} INFO - [2024-10-18T00:07:59.325+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-18T00:07:59.352+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.165 seconds
